iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,population
BRA,South America,Brazil,09/03/21,11122429,70764,268370,1972,212559409
BRA,South America,Brazil,10/03/21,11202305,79876,270656,2286,212559409
BRA,South America,Brazil,11/03/21,11277717,75412,272889,2233,212559409
BRA,South America,Brazil,12/03/21,11363380,85663,275105,2216,212559409
BRA,South America,Brazil,13/03/21,11439558,76178,277102,1997,212559409
BRA,South America,Brazil,14/03/21,11483370,43812,278229,1127,212559409
BRA,South America,Brazil,15/03/21,11519609,36239,279286,1057,212559409
BRA,South America,Brazil,16/03/21,11603535,83926,282127,2841,212559409
BRA,South America,Brazil,17/03/21,11693838,90303,284775,2648,212559409
BRA,South America,Brazil,18/03/21,11780820,86982,287499,2724,212559409
BRA,South America,Brazil,19/03/21,11871390,90570,290314,2815,212559409
BRA,South America,Brazil,20/03/21,11950459,79069,292752,2438,212559409
BRA,South America,Brazil,21/03/21,11998233,47774,294042,1290,212559409
BRA,South America,Brazil,22/03/21,12047526,49293,295425,1383,212559409
BRA,South America,Brazil,23/03/21,12130019,82493,298676,3251,212559409
BRA,South America,Brazil,24/03/21,12220011,89992,300685,2009,212559409
BRA,South America,Brazil,25/03/21,12320169,100158,303462,2777,212559409
BRA,South America,Brazil,26/03/21,12404414,84245,307112,3650,212559409
BRA,South America,Brazil,27/03/21,12490362,85948,310550,3438,212559409
BRA,South America,Brazil,28/03/21,12534688,44326,312206,1656,212559409
BRA,South America,Brazil,29/03/21,12573615,38927,313866,1660,212559409
BRA,South America,Brazil,30/03/21,12658109,84494,317646,3780,212559409
BRA,South America,Brazil,31/03/21,12748747,90638,321515,3869,212559409
BRA,South America,Brazil,01/04/21,12839844,91097,325284,3769,212559409
BRA,South America,Brazil,02/04/21,12910082,70238,328206,2922,212559409
BRA,South America,Brazil,03/04/21,12953597,43515,330193,1987,212559409
BRA,South America,Brazil,04/04/21,12984956,31359,331433,1240,212559409
BRA,South America,Brazil,05/04/21,13013601,28645,332752,1319,212559409
BRA,South America,Brazil,06/04/21,13100580,86979,336947,4195,212559409
BRA,South America,Brazil,07/04/21,13193205,92625,340776,3829,212559409
BRA,South America,Brazil,08/04/21,13279857,86652,345025,4249,212559409
BRA,South America,Brazil,09/04/21,13373174,93317,348718,3693,212559409
